Student_ID,Name,Gender,Branch,Semester,Internal_Marks,External_Marks,Assignment_Score,Total_Marks,SGPA,Grade,Attendance_Percentage,Lecture_Attended,Lecture_Missed,Late_Coming_Count,Study_Hours_Per_Day,Assignment_Submission_Rate,Notes_Completion_Rate,Core_Subject_Avg,Technical_Subject_Avg,Practical_Score,Project_Score,Group_Activity_Score,Communication_Score,Average_Marks,Attendance_Status,Performance_Index,Final_Result,Performance_Label,Risk_Level
S0070,Shruti,Female,Civil,4,10,44,5,59,5.9,D,45,54,66,9,0.5,60,30,43,42,39,72,64,30,19.67,Fail,39.34,Pass,Poor,High
S0071,Ritik,Male,Mechanical,3,17,41,13,71,7.1,B,100,120,0,0,2.3,58,88,40,77,62,74,85,45,23.67,Fail,47.34,Pass,Average,Medium
S0072,Shruti,Female,Mechanical,6,12,55,18,85,8.5,A,55,66,54,4,3.7,68,57,36,64,60,81,43,30,28.33,Fail,56.66,Pass,Excellent,High
S0073,Khushi,Female,CSE,4,16,59,17,92,9.2,A,70,84,36,2,6.2,65,100,95,51,81,78,89,46,30.67,Fail,61.34,Pass,Excellent,Low
S0074,Vihaan,Male,Electrical,6,17,24,5,46,4.6,D,76,91,29,14,1.4,93,65,40,44,64,49,45,44,15.33,Fail,30.66,Fail,Poor,High
S0075,Aarav,Male,Mechanical,4,27,35,18,80,8.0,B,74,88,32,1,5.5,59,67,83,86,52,74,57,45,26.67,Fail,53.34,Pass,Average,Low
S0076,Vaishnavi,Female,IT,4,23,51,18,92,9.2,A,64,76,44,10,2.8,100,30,82,56,90,55,44,59,30.67,Fail,61.34,Pass,Excellent,Low
S0077,Simran,Female,ENTC,7,24,52,14,90,9.0,A,90,108,12,6,4.4,100,77,54,68,82,55,63,70,30.0,Fail,60.0,Pass,Excellent,Low
S0078,Riya,Female,CSE,6,12,51,14,77,7.7,B,100,120,0,2,2.6,82,59,50,60,58,84,44,59,25.67,Fail,51.34,Pass,Average,Low
S0079,Pooja,Female,Mechanical,1,19,35,12,66,6.6,C,66,79,41,1,0.7,68,79,53,68,57,82,55,43,22.0,Fail,44.0,Pass,Poor,Medium
S0080,Vaishnavi,Female,Civil,2,21,60,19,100,10.0,A,55,66,54,12,5.8,88,78,54,77,60,67,70,72,33.33,Fail,66.66,Pass,Excellent,High
S0081,Aarav,Male,CSE,5,29,39,21,89,8.9,A,75,90,30,8,7.7,85,59,61,80,100,100,69,97,29.67,Fail,59.34,Pass,Excellent,Low
S0082,Nikhil,Male,ENTC,3,10,44,14,68,6.8,C,49,58,62,14,2.6,77,56,49,72,78,86,43,66,22.67,Fail,45.34,Pass,Poor,High
S0083,Khushi,Female,IT,8,27,52,18,97,9.7,A,84,100,20,9,5.0,91,47,93,68,68,91,54,73,32.33,Fail,64.66,Pass,Excellent,Low
S0084,Sakshi,Female,CSE,3,21,40,19,80,8.0,B,51,61,59,10,1.6,96,30,43,32,72,31,88,30,26.67,Fail,53.34,Pass,Average,High
S0085,Kavya,Female,CSE,2,30,70,21,121,10.0,A,100,120,0,0,5.5,100,70,71,41,100,55,74,56,40.33,Fail,70.16,Pass,Excellent,Low
S0086,Aditya,Male,CSE,5,5,10,11,26,3.5,D,35,42,78,3,0.5,63,98,50,30,56,49,75,57,8.67,Fail,21.84,Fail,Poor,High
S0087,Rahul,Male,ENTC,7,14,40,17,71,7.1,B,52,62,58,11,3.5,100,82,70,62,82,61,43,59,23.67,Fail,47.34,Pass,Average,High
S0088,Harsh,Male,CSE,4,15,53,20,88,8.8,A,91,109,11,4,1.8,95,73,61,51,46,86,49,47,29.33,Fail,58.66,Pass,Excellent,Low
S0089,Riya,Female,CSE,3,13,48,15,76,7.6,B,62,74,46,6,6.5,100,76,69,76,55,100,62,86,25.33,Fail,50.66,Pass,Average,Low
S0090,Anushka,Female,Civil,4,20,63,19,102,10.0,A,85,102,18,0,3.8,100,85,56,31,49,48,75,64,34.0,Fail,67.0,Pass,Excellent,Low
S0091,Vihaan,Male,ENTC,6,27,32,24,83,8.3,B,70,84,36,9,4.2,90,93,71,55,94,75,60,49,27.67,Fail,55.34,Pass,Average,Low
S0092,Saurabh,Male,CSE,1,8,28,7,43,4.3,D,44,52,68,6,1.7,59,89,51,63,31,30,70,64,14.33,Fail,28.66,Fail,Poor,High
S0093,Rohan,Male,Civil,8,25,29,12,66,6.6,C,72,86,34,7,5.4,100,98,63,63,84,79,85,61,22.0,Fail,44.0,Pass,Poor,Medium
S0094,Om,Male,Electrical,7,25,40,9,74,7.4,B,68,81,39,9,1.3,68,38,50,52,66,61,84,56,24.67,Fail,49.34,Pass,Average,Medium
S0095,Anushka,Female,Civil,5,5,10,10,25,3.5,D,35,42,78,7,1.3,55,88,30,62,65,70,74,88,8.33,Fail,21.66,Fail,Poor,High
S0096,Nandini,Female,IT,3,12,34,13,59,5.9,D,68,81,39,3,1.5,55,91,53,51,70,100,76,58,19.67,Fail,39.34,Pass,Poor,High
S0097,Atharva,Male,IT,1,23,56,18,97,9.7,A,78,93,27,4,3.2,54,47,71,74,80,49,70,30,32.33,Fail,64.66,Pass,Excellent,Low
S0098,Sakshi,Female,IT,1,21,27,14,62,6.2,C,79,94,26,9,1.6,63,32,68,66,70,64,33,58,20.67,Fail,41.34,Pass,Poor,Medium
S0099,Palak,Female,Civil,4,23,29,15,67,6.7,C,53,63,57,9,6.8,90,100,95,30,100,89,49,66,22.33,Fail,44.66,Pass,Poor,High
S0100,Meera,Female,IT,3,30,66,18,114,10.0,A,80,96,24,3,8.8,100,68,68,85,95,100,78,84,38.0,Fail,69.0,Pass,Excellent,Low
S0101,Kunal,Male,ENTC,6,15,45,21,81,8.1,B,96,115,5,1,4.6,83,100,58,88,43,52,60,45,27.0,Fail,54.0,Pass,Average,Low
S0102,Sakshi,Female,IT,1,30,60,30,120,10.0,A,88,105,15,6,6.3,69,90,95,76,71,88,77,69,40.0,Fail,70.0,Pass,Excellent,Low
S0103,Prachi,Female,IT,1,23,40,15,78,7.8,B,60,72,48,2,2.3,100,100,54,30,56,71,46,47,26.0,Fail,52.0,Pass,Average,Low
S0104,Kunal,Male,Mechanical,5,9,43,7,59,5.9,D,67,80,40,6,1.4,70,83,54,62,59,30,49,30,19.67,Fail,39.34,Pass,Poor,High
S0105,Rahul,Male,Civil,1,22,28,24,74,7.4,B,62,74,46,8,5.5,76,87,95,67,51,71,93,82,24.67,Fail,49.34,Pass,Average,Medium
S0106,Shubham,Male,IT,7,8,12,20,40,4.0,D,46,55,65,7,0.7,58,44,74,39,65,39,55,42,13.33,Fail,26.66,Fail,Poor,High
S0107,Riya,Female,CSE,5,8,32,10,50,5.0,D,35,42,78,3,2.2,45,84,49,44,42,30,78,59,16.67,Fail,33.34,Pass,Poor,High
S0108,Siddharth,Male,Civil,3,5,10,13,28,3.5,D,70,84,36,3,0.5,70,59,81,30,32,31,36,38,9.33,Fail,22.16,Fail,Poor,High
S0109,Anushka,Female,Electrical,8,12,42,19,73,7.3,B,49,58,62,6,1.8,78,54,75,51,45,38,63,69,24.33,Fail,48.66,Pass,Average,High
S0110,Aman,Male,CSE,7,28,49,19,96,9.6,A,83,99,21,9,5.6,94,75,30,76,72,81,41,100,32.0,Fail,64.0,Pass,Excellent,Low
S0111,Rohan,Male,Electrical,4,25,54,19,98,9.8,A,71,85,35,5,2.9,100,83,69,65,30,58,69,71,32.67,Fail,65.34,Pass,Excellent,Low
S0112,Aditya,Male,IT,6,18,51,20,89,8.9,A,72,86,34,13,3.8,83,83,30,65,69,61,69,57,29.67,Fail,59.34,Pass,Excellent,Low
S0113,Anushka,Female,Civil,1,14,10,14,38,3.8,D,35,42,78,5,1.1,78,54,55,82,33,43,55,57,12.67,Fail,25.34,Fail,Poor,High
S0114,Kunal,Male,Mechanical,5,26,34,15,75,7.5,B,62,74,46,0,3.1,63,32,50,72,100,82,42,55,25.0,Fail,50.0,Pass,Average,Low
S0115,Aman,Male,Electrical,2,8,32,11,51,5.1,D,52,62,58,5,2.4,69,80,64,56,32,58,90,65,17.0,Fail,34.0,Pass,Poor,High
S0116,Anushka,Female,ENTC,2,12,42,15,69,6.9,C,60,72,48,14,1.6,45,79,42,79,75,43,66,41,23.0,Fail,46.0,Pass,Poor,Medium
S0117,Saurabh,Male,IT,8,12,41,5,58,5.8,D,56,67,53,12,2.6,39,73,81,71,64,89,81,72,19.33,Fail,38.66,Pass,Poor,High
S0118,Rohan,Male,Mechanical,5,23,37,9,69,6.9,C,48,57,63,4,2.3,83,61,33,63,87,79,53,68,23.0,Fail,46.0,Pass,Poor,High
S0119,Siddharth,Male,CSE,3,21,36,11,68,6.8,C,62,74,46,3,3.9,100,83,58,95,70,100,52,75,22.67,Fail,45.34,Pass,Poor,Medium
S0120,Anushka,Female,Civil,3,17,39,11,67,6.7,C,70,84,36,1,2.8,86,62,56,42,100,100,70,52,22.33,Fail,44.66,Pass,Poor,Medium
S0121,Tanish,Male,Mechanical,5,16,25,13,54,5.4,D,46,55,65,7,2.2,67,93,31,48,79,54,53,66,18.0,Fail,36.0,Pass,Poor,High
S0122,Pooja,Female,ENTC,5,19,44,16,79,7.9,B,71,85,35,7,2.6,84,62,57,80,61,67,30,67,26.33,Fail,52.66,Pass,Average,Low
S0123,Sneha,Female,CSE,4,30,49,22,101,10.0,A,74,88,32,8,6.0,80,92,40,68,85,55,58,83,33.67,Fail,66.84,Pass,Excellent,Low
S0124,Prachi,Female,CSE,5,23,29,13,65,6.5,C,68,81,39,10,3.9,67,77,49,59,100,44,72,49,21.67,Fail,43.34,Pass,Poor,Medium
S0125,Tanvi,Female,ENTC,7,14,18,10,42,4.2,D,72,86,34,14,2.2,84,52,50,63,65,59,43,46,14.0,Fail,28.0,Fail,Poor,High
S0126,Aman,Male,Civil,2,30,57,22,109,10.0,A,64,76,44,8,6.3,58,100,78,73,63,91,61,100,36.33,Fail,68.16,Pass,Excellent,Low
S0127,Simran,Female,ENTC,3,14,49,15,78,7.8,B,76,91,29,0,1.0,56,49,30,60,64,61,41,68,26.0,Fail,52.0,Pass,Average,Low
S0128,Diya,Female,CSE,6,23,57,12,92,9.2,A,58,69,51,12,4.1,99,71,41,95,56,95,69,72,30.67,Fail,61.34,Pass,Excellent,High
S0129,Shruti,Female,Mechanical,1,7,30,12,49,4.9,D,71,85,35,9,0.5,96,77,65,54,60,47,30,39,16.33,Fail,32.66,Fail,Poor,High
S0130,Aditi,Female,Electrical,8,30,59,19,108,10.0,A,80,96,24,10,5.0,83,81,66,54,84,75,76,62,36.0,Fail,68.0,Pass,Excellent,Low
S0131,Saurabh,Male,Mechanical,6,28,45,9,82,8.2,B,81,97,23,3,2.5,56,65,95,80,77,40,71,43,27.33,Fail,54.66,Pass,Average,Low
S0132,Om,Male,ENTC,1,30,65,25,120,10.0,A,86,103,17,1,6.8,92,71,86,61,70,55,83,82,40.0,Fail,70.0,Pass,Excellent,Low
S0133,Neha,Female,CSE,4,21,29,15,65,6.5,C,71,85,35,0,4.5,78,69,75,82,86,64,75,37,21.67,Fail,43.34,Pass,Poor,Medium
S0134,Palak,Female,ENTC,2,14,42,13,69,6.9,C,74,88,32,13,2.2,84,85,49,60,63,55,35,62,23.0,Fail,46.0,Pass,Poor,Medium
S0135,Ritik,Male,ENTC,7,21,31,16,68,6.8,C,43,51,69,0,4.8,100,62,73,52,88,59,77,43,22.67,Fail,45.34,Pass,Poor,High
S0136,Neha,Female,CSE,1,5,39,16,60,6.0,C,60,72,48,0,1.1,51,70,71,67,82,71,40,43,20.0,Fail,40.0,Pass,Poor,Medium
S0137,Tanish,Male,ENTC,7,25,65,15,105,10.0,A,100,120,0,2,7.9,84,100,86,68,100,100,78,68,35.0,Fail,67.5,Pass,Excellent,Low
S0138,Tanish,Male,ENTC,7,20,55,19,94,9.4,A,68,81,39,3,6.1,86,86,95,56,77,90,66,65,31.33,Fail,62.66,Pass,Excellent,Low
S0139,Saurabh,Male,Electrical,2,22,60,24,106,10.0,A,76,91,29,13,3.3,79,72,56,47,51,72,62,41,35.33,Fail,67.66,Pass,Excellent,Low
S0140,Sakshi,Female,Civil,3,23,38,19,80,8.0,B,35,42,78,3,5.4,70,67,40,66,79,86,62,83,26.67,Fail,53.34,Pass,Average,High
S0141,Aarav,Male,Civil,3,27,14,14,55,5.5,D,87,104,16,6,1.3,67,60,66,86,61,97,49,63,18.33,Fail,36.66,Pass,Poor,High
S0142,Riya,Female,ENTC,5,12,12,6,30,3.5,D,59,70,50,13,0.5,46,72,49,49,49,80,40,30,10.0,Fail,22.5,Fail,Poor,High
S0143,Tanvi,Female,Mechanical,4,18,57,13,88,8.8,A,49,58,62,13,2.1,81,69,30,53,31,94,64,44,29.33,Fail,58.66,Pass,Excellent,High
S0144,Simran,Female,CSE,3,11,24,17,52,5.2,D,61,73,47,6,1.6,57,82,57,30,86,51,72,30,17.33,Fail,34.66,Pass,Poor,High
S0145,Aditya,Male,Civil,8,9,10,13,32,3.5,D,47,56,64,6,1.5,51,47,31,64,30,59,60,45,10.67,Fail,22.84,Fail,Poor,High
S0146,Aditi,Female,ENTC,8,17,37,16,70,7.0,B,63,75,45,10,1.5,63,100,30,53,69,52,60,54,23.33,Fail,46.66,Pass,Average,Medium
S0147,Aditya,Male,IT,2,23,45,16,84,8.4,B,72,86,34,4,1.3,83,55,30,70,87,51,50,65,28.0,Fail,56.0,Pass,Average,Low
S0148,Pranav,Male,ENTC,4,29,49,19,97,9.7,A,87,104,16,4,4.0,62,84,58,66,59,44,52,74,32.33,Fail,64.66,Pass,Excellent,Low
S0149,Shubham,Male,CSE,7,22,57,20,99,9.9,A,75,90,30,2,5.9,100,50,82,64,76,57,59,53,33.0,Fail,66.0,Pass,Excellent,Low
S0150,Pranav,Male,Mechanical,5,14,18,5,37,3.7,D,52,62,58,8,0.5,71,51,52,83,67,71,49,30,12.33,Fail,24.66,Fail,Poor,High
S0151,Sneha,Female,ENTC,6,16,25,13,54,5.4,D,47,56,64,1,0.5,64,87,66,44,75,44,63,53,18.0,Fail,36.0,Pass,Poor,High
S0152,Saurabh,Male,CSE,5,5,31,13,49,4.9,D,35,42,78,13,2.5,72,99,48,30,89,68,50,71,16.33,Fail,32.66,Fail,Poor,High
S0153,Anushka,Female,Electrical,8,6,30,9,45,4.5,D,54,64,56,14,0.8,93,81,53,30,68,47,70,56,15.0,Fail,30.0,Fail,Poor,High
S0154,Tanish,Male,IT,1,9,37,13,59,5.9,D,96,115,5,13,4.1,100,78,45,82,77,81,62,64,19.67,Fail,39.34,Pass,Poor,High
S0155,Anushka,Female,CSE,2,27,53,14,94,9.4,A,93,111,9,3,7.1,97,82,61,78,57,83,100,72,31.33,Fail,62.66,Pass,Excellent,Low
S0156,Prachi,Female,Mechanical,4,18,15,12,45,4.5,D,57,68,52,14,1.5,70,53,78,72,68,30,54,68,15.0,Fail,30.0,Fail,Poor,High
S0157,Aarav,Male,IT,2,12,36,11,59,5.9,D,62,74,46,5,3.3,65,100,78,47,73,30,55,30,19.67,Fail,39.34,Pass,Poor,High
S0158,Atharva,Male,CSE,3,23,49,25,97,9.7,A,63,75,45,5,5.1,47,100,75,65,76,88,68,81,32.33,Fail,64.66,Pass,Excellent,Low
S0159,Atharva,Male,Electrical,5,10,55,16,81,8.1,B,59,70,50,12,5.4,93,100,62,79,87,68,57,86,27.0,Fail,54.0,Pass,Average,High
S0160,Prachi,Female,Electrical,2,29,47,16,92,9.2,A,100,120,0,0,5.1,100,69,50,47,57,100,52,81,30.67,Fail,61.34,Pass,Excellent,Low
S0161,Ananya,Female,Civil,4,29,70,30,129,10.0,A,88,105,15,7,6.5,72,84,95,83,48,87,85,81,43.0,Fail,71.5,Pass,Excellent,Low
S0162,Ritik,Male,Civil,1,29,32,13,74,7.4,B,49,58,62,2,2.6,76,62,79,93,53,54,56,58,24.67,Fail,49.34,Pass,Average,High
